Profit Center,Entity,Product,Currency,Version,Functional Area,Fiscal Period,Value
PC01,Entity01,Product01,USD,Plan,Net Sales,Jan-20,100
PC01,Entity01,Product01,USD,Plan,Net Sales,Feb-20,120
PC01,Entity01,Product01,USD,Plan,Net Sales,Mar-20,100
PC01,Entity01,Product01,USD,Plan,Net Sales,Apr-20,100
PC01,Entity01,Product01,USD,Plan,Net Sales,May-20,100
PC01,Entity01,Product01,USD,Plan,Net Sales,Jun-20,100
PC01,Entity01,Product01,USD,Plan,Net Sales,Jul-20,100
PC01,Entity01,Product01,USD,Plan,Net Sales,Aug-20,100
PC01,Entity01,Product01,USD,Plan,Net Sales,Sep-20,100
PC01,Entity01,Product01,USD,Plan,Net Sales,Oct-20,100
PC01,Entity01,Product01,USD,Plan,Net Sales,Nov-20,100
PC02,Entity01,Product01,USD,Plan,Net Sales,Dec-20,100
PC02,Entity01,Product01,USD,Plan,Net Sales,Jan-20,55
PC03,Entity01,Product01,USD,Plan,Net Sales,Jan-20,
